ID                            : ACCESS,    TYPE,  CNT,     MIN,           MAX,   STEP,      DEFAULT
***************************************************************************************************
EP/TYPE                       :    RWA,  STRING,    8,     N/A,           N/A,    N/A,      HYDRAEP
EP/SUBTYPE                    :    RWA,  STRING,    8,     N/A,           N/A,    N/A,          DVL
EP/VERSION                    :    RWA,  UINT16,    1,    0.00,      65535.00,   1.00,            1
EP/DEV_MODEL                  :    RWA,  STRING,   32,     N/A,           N/A,    N/A,          N/A
EP/DECIMAL_NUM                :    RWA,  STRING,   32,     N/A,           N/A,    N/A,          N/A
EP/SERIAL_NUM                 :    RWA,  UINT16,    1,    0.00,      65535.00,   1.00,            0
EP/CONROLLER_NUM              :    RWA,  UINT16,    1,    0.00,      65535.00,   1.00,            0
EP/PRODACT_DATE               :    RWA,  UINT32,    1,    0.00, 4294967296.00,   1.00,            0
EP/SERVICE_DATE               :    RWA,  UINT32,    1,    0.00, 4294967296.00,   1.00,            0
EP/ANTEN_NUM                  :    RWA,  UINT16,    1,    0.00,      65535.00,   1.00,            0
EP/DEPTH_MAX                  :    RWA,  UINT16,    1,    0.00,      65535.00,   1.00,            0
EP/VERSION_BOOT               :      R,  UINT16,    1,    0.00,      65535.00,   1.00,         3074
EP/VERSION_API                :      R,  UINT16,    1,    0.00,      65535.00,   1.00,            0
EP/VERSION_PGL                :      R,  UINT32,    1,    0.00, 4294967296.00,   1.00,            0
EP/ETH/SUPPORT                :    RWA,   UINT8,    1,    0.00,        255.00,   1.00,            1
EP/ETH/USE                    :    RWA,   UINT8,    1,    0.00,        255.00,   1.00,            1
EP/ETH/DEVICE_TXT_UDP         :      R,  UINT16,    1,    0.00,      65535.00,   1.00,         5555
EP/ETH/DEVICE_IP              :     RW,  UINT32,    1,    0.00, 4294967296.00,   1.00,     51226816
EP/ETH/FACTORY_IP             :      R,  UINT32,    1,    0.00, 4294967296.00,   1.00,            0
EP/RS/SUPPORT                 :    RWA,   UINT8,    1,    0.00,        255.00,   1.00,            0
EP/RS/USE                     :    RWA,   UINT8,    1,    0.00,        255.00,   1.00,            0
EP/RS/SPEED                   :     RW,  UINT32,    1,    0.00,     230400.00,   1.00,            0
EP/SENSORS/1/ID               :    RWA,   UINT8,    1,    0.00,        255.00,   1.00,            0
EP/SENSORS/1/PRM              :    RWA,   UINT8,   31,    0.00,        255.00,   1.00,            0
EP/SENSORS/2/ID               :    RWA,   UINT8,    1,    0.00,        255.00,   1.00,            0
EP/SENSORS/2/PRM              :    RWA,   UINT8,   31,    0.00,        255.00,   1.00,            0
EP/SENSORS/3/ID               :    RWA,   UINT8,    1,    0.00,        255.00,   1.00,            0
EP/SENSORS/3/PRM              :    RWA,   UINT8,   31,    0.00,        255.00,   1.00,            0
EP/SENSORS/4/ID               :    RWA,   UINT8,    1,    0.00,        255.00,   1.00,            0
EP/SENSORS/4/PRM              :    RWA,   UINT8,   31,    0.00,        255.00,   1.00,            0
EP/SENSORS/5/ID               :    RWA,   UINT8,    1,    0.00,        255.00,   1.00,            0
EP/SENSORS/5/PRM              :    RWA,   UINT8,   31,    0.00,        255.00,   1.00,            0
EP/SENSORS/6/ID               :    RWA,   UINT8,    1,    0.00,        255.00,   1.00,            0
EP/SENSORS/6/PRM              :    RWA,   UINT8,   31,    0.00,        255.00,   1.00,            0
EP/SENSORS/7/ID               :    RWA,   UINT8,    1,    0.00,        255.00,   1.00,            0
EP/SENSORS/7/PRM              :    RWA,   UINT8,   31,    0.00,        255.00,   1.00,            0
EP/SENSORS/8/ID               :    RWA,   UINT8,    1,    0.00,        255.00,   1.00,            0
EP/SENSORS/8/PRM              :    RWA,   UINT8,   31,    0.00,        255.00,   1.00,            0
EP/POWER/VPOW_MIN             :    RWA,  UINT32,    1,    0.00, 4294967296.00,   1.00,            0
EP/POWER/VPOW_MAX             :    RWA,  UINT32,    1,    0.00, 4294967296.00,   1.00,            0
EP/POWER/VPOW_K               :    RWA,  UINT32,    1,    0.00, 4294967296.00,   1.00,            0
EP/POWER/VPOW_B               :    RWA,  UINT32,    1,    0.00, 4294967296.00,   1.00,            0
EP/ART/F0                     :    RWA,   FLOAT,    1,    0.00, 4294967296.00,   1.00,    568181.81
EP/ART/FWB                    :    RWA,   FLOAT,    1,    0.00, 4294967296.00,   1.00,      7900.00
EP/ART/N0                     :    RWA,  UINT32,    1,    0.00, 4294967296.00,   1.00,          220
EP/PA/TIME_Z_MIN              :    RWA,  UINT16,    1,    0.00,      65535.00,   1.00,            0
EP/PA/QMIN                    :    RWA,  UINT16,    1,    0.00,      65535.00,   1.00,           16
EP/PA/T_PULSE_MAX             :    RWA,  UINT16,    1,    0.00,      65535.00,   1.00,           50
EP/AJST/TET_ANGLE             :     RW,   FLOAT,    1,  -90.00,         90.00,   0.00,       -60.00
EP/AJST/DMAX                  :    RWA,  UINT16,    1,    0.00,      65535.00,   1.00,         1000
EP/COORDN/ALFA_AB             :     RW,   FLOAT,    1, -180.00,        180.00,   0.00,       -45.00
EP/COORDN/ALFA_CD             :     RW,   FLOAT,    1, -180.00,        180.00,   0.00,        45.00
EP/COORDN/CHAN_A              :    RWA,   UINT8,    1,    1.00,          4.00,   1.00,            4
EP/COORDN/CHAN_B              :    RWA,   UINT8,    1,    1.00,          4.00,   1.00,            2
EP/COORDN/CHAN_C              :    RWA,   UINT8,    1,    1.00,          4.00,   1.00,            3
EP/COORDN/CHAN_D              :    RWA,   UINT8,    1,    1.00,          4.00,   1.00,            1
EP/FILTER/V_KALMN_R           :     RW,   FLOAT,    1,    0.00,        100.00,   0.00,         0.20
EP/FILTER/V_KALMN_Q           :     RW,   FLOAT,    1,    0.00,        100.00,   0.00,         0.20
EP/MODE1/NAME_MODE            :    RWA,  STRING,   20,     N/A,           N/A,    N/A,  Mode1-Abs_1
EP/MODE1/VERSION              :      R,  UINT16,    1,    0.00,      65535.00,   1.00,          256
EP/MODE1/CODE_ZI              :    RWA,  UINT32,    1,    0.00, 4294967296.00,   1.00,            0
EP/MODE1/MODE_ID              :      R,   UINT8,    1,    0.00,        255.00,   1.00,            0
EP/MODE1/CHPK                 :    RWA,   UINT8,    1,    0.00,          1.00,   1.00,            0
EP/MODE1/GZI_MODE             :    RWA,   UINT8,    1,    0.00,          1.00,   1.00,            0
EP/MODE1/GZI_M                :    RWA,  UINT32,    1,    0.00,     524287.00,   1.00,        76960
EP/MODE1/GZI_N                :    RWA,  UINT32,    1,    0.00,       2047.00,   1.00,            0
EP/MODE1/GZI_Z                :    RWA,  UINT16,    1,   10.00,       1000.00,   1.00,           30
EP/MODE1/GZI_P                :    RWA,  UINT16,    1,    0.00,     131071.00,   1.00,         1136
